Time	Ampl		
-0.026051136	2.04		
-0.026050136	2		
-0.026049136	2		
-0.026048136	2		
-0.026047136	2		
-0.026046136	2.04		
-0.026045136	1.98		
-0.026044136	1.98		
-0.026043136	2		
-0.026042136	2		
-0.026041136	2.04		
-0.026040136	1.9		
-0.026039136	2		
-0.026038136	2.08		
-0.026037136	1.94		
-0.026036136	2		
-0.026035136	1.96		
-0.026034136	2		
-0.026033136	1.96		
-0.026032136	2		
-0.026031136	1.98		
-0.026030136	1.98		
-0.026029136	2.04		
-0.026028136	1.96		
-0.026027136	2		
-0.026026136	2		
-0.026025136	2		
-0.026024136	2.02		
-0.026023136	1.98		
-0.026022136	2.02		
-0.026021136	1.98		
-0.026020136	2.02		
-0.026019136	2.02		
-0.026018136	2.02		
-0.026017136	1.98		
-0.026016136	2.02		
-0.026015136	2.02		
-0.026014136	2.04		
-0.026013136	1.96		
-0.026012136	1.92		
-0.026011136	1.96		
-0.026010136	1.94		
-0.026009136	2		
-0.026008136	2.02		
-0.026007136	1.96		
-0.026006136	1.96		
-0.026005136	2.02		
-0.026004136	1.98		
-0.026003136	2.02		
-0.026002136	2.02		
-0.026001136	1.92		
-0.026000136	2.02		
-0.025999136	2.02		
-0.025998136	2		
-0.025997136	2.06		
-0.025996136	2		
-0.025995136	2		
-0.025994136	2		
-0.025993136	1.94		
-0.025992136	1.96		
-0.025991136	2		
-0.025990136	1.94		
-0.025989136	1.98		
-0.025988136	2.06		
-0.025987136	1.98		
-0.025986136	2		
-0.025985136	1.96		
-0.025984136	2		
-0.025983136	1.94		
-0.025982136	2.02		
-0.025981136	2.02		
-0.025980136	1.98		
-0.025979136	1.98		
-0.025978136	2.08		
-0.025977136	1.96		
-0.025976136	1.94		
-0.025975136	1.98		
-0.025974136	1.92		
-0.025973136	2.02		
-0.025972136	2.02		
-0.025971136	1.98		
-0.025970136	2		
-0.025969136	1.92		
-0.025968136	2.04		
-0.025967136	2		
-0.025966136	2.06		
-0.025965136	2		
-0.025964136	1.92		
-0.025963136	1.98		
-0.025962136	1.98		
-0.025961136	2.02		
-0.025960136	2.06		
-0.025959136	1.98		
-0.025958136	2.06		
-0.025957136	1.98		
-0.025956136	2		
-0.025955136	2.02		
-0.025954136	2		
-0.025953136	2.02		
-0.025952136	2.04		
-0.025951136	1.98		
-0.025950136	1.94		
-0.025949136	2		
-0.025948136	2		
-0.025947136	2.02		
-0.025946136	1.98		
-0.025945136	1.9		
-0.025944136	2.06		
-0.025943136	2		
-0.025942136	1.98		
-0.025941136	2		
-0.025940136	2.08		
-0.025939136	2		
-0.025938136	2		
-0.025937136	2.08		
-0.025936136	1.92		
-0.025935136	1.96		
-0.025934136	2.08		
-0.025933136	8.54		
-0.025932136	8.48		
-0.025931136	8.42		
-0.025930136	8.36		
-0.025929136	8.28		
-0.025928136	8.24		
-0.025927136	8.26		
-0.025926136	8.32		
-0.025925136	8.34		
-0.025924136	8.3		
-0.025923136	8.28		
-0.025922136	8.36		
-0.025921136	8.32		
-0.025920136	8.34		
-0.025919136	8.3		
-0.025918136	8.34		
-0.025917136	8.34		
-0.025916136	8.34		
-0.025915136	8.22		
-0.025914136	8.26		
-0.025913136	8.28		
-0.025912136	8.3		
-0.025911136	8.28		
-0.025910136	8.36		
-0.025909136	8.28		
-0.025908136	8.3		
-0.025907136	8.34		
-0.025906136	8.34		
-0.025905136	8.28		
-0.025904136	8.32		
-0.025903136	8.32		
-0.025902136	8.32		
-0.025901136	8.32		
-0.025900136	8.34		
-0.025899136	8.32		
-0.025898136	8.32		
-0.025897136	8.3		
-0.025896136	8.36		
-0.025895136	8.3		
-0.025894136	8.3		
-0.025893136	8.28		
-0.025892136	8.32		
-0.025891136	8.3		
-0.025890136	8.3		
-0.025889136	8.28		
-0.025888136	8.26		
-0.025887136	8.34		
-0.025886136	8.3		
-0.025885136	8.38		
-0.025884136	8.36		
-0.025883136	8.3		
-0.025882136	8.28		
-0.025881136	8.42		
-0.025880136	8.38		
-0.025879136	8.36		
-0.025878136	8.32		
-0.025877136	8.26		
-0.025876136	8.3		
-0.025875136	8.32		
-0.025874136	8.32		
-0.025873136	8.32		
-0.025872136	8.34		
-0.025871136	8.36		
-0.025870136	8.28		
-0.025869136	8.38		
-0.025868136	8.3		
-0.025867136	8.34		
-0.025866136	8.38		
-0.025865136	8.28		
-0.025864136	8.28		
-0.025863136	8.2		
-0.025862136	8.28		
-0.025861136	8.3		
-0.025860136	8.32		
-0.025859136	8.32		
-0.025858136	8.34		
-0.025857136	8.34		
-0.025856136	8.3		
-0.025855136	8.26		
-0.025854136	8.22		
-0.025853136	8.3		
-0.025852136	8.28		
-0.025851136	8.36		
-0.025850136	8.32		
-0.025849136	8.34		
-0.025848136	8.4		
-0.025847136	8.32		
-0.025846136	8.36		
-0.025845136	8.3		
-0.025844136	8.3		
-0.025843136	8.36		
-0.025842136	8.36		
-0.025841136	8.34		
-0.025840136	8.28		
-0.025839136	8.34		
-0.025838136	8.3		
-0.025837136	8.32		
-0.025836136	8.4		
-0.025835136	8.34		
-0.025834136	8.22		
-0.025833136	8.34		
-0.025832136	8.32		
-0.025831136	8.32		
-0.025830136	8.32		
-0.025829136	8.3		
-0.025828136	8.34		
-0.025827136	8.34		
-0.025826136	8.3		
-0.025825136	8.36		
-0.025824136	8.36		
-0.025823136	8.3		
-0.025822136	8.32		
-0.025821136	8.32		
-0.025820136	8.38		
-0.025819136	8.26		
-0.025818136	8.36		
-0.025817136	8.34		
-0.025816136	8.34		
-0.025815136	8.3		
-0.025814136	8.4		
-0.025813136	8.34		
-0.025812136	8.34		
-0.025811136	8.32		
-0.025810136	8.34		
-0.025809136	8.36		
-0.025808136	8.32		
-0.025807136	8.36		
-0.025806136	8.3		
-0.025805136	8.34		
